CustomerID,Age,AnnualIncome_k,Tenure_Months,Recency_Days,Frequency_Purchases,MonetaryTotal,AvgOrderValue,NumWebPurchases,NumStorePurchases,NumCatalogPurchases,NumWebVisitsPerMonth,NumDealsPurchases,DiscountUsageRate,CartAbandonRate,ReturnRate,NumComplaints,LoyaltyPoints,EmailOpenRate,AppSessionMinPerMonth,SocialEngagementScore,WishlistItems,ReviewsWritten,CustomerServiceContacts,Spend_Electronics,Spend_Apparel,Spend_Grocery,Spend_HomeGoods,Spend_Beauty
CUST00001,32.0,46.0,28.0,17.2,29.0,962.47,28.84,9.0,6.4,13.7,12.7,13.9,0.504,0.095,0.152,0,1504.0,0.41,76.9,41.5,9,3,1,317.78,29.35,566.98,22.69,25.68
CUST00002,42.5,91.4,22.2,35.9,12.7,964.17,74.89,5.5,4.4,2.7,7.0,2.7,0.256,0.226,0.102,0,2450.0,0.207,25.0,20.6,5,0,0,361.35,84.72,122.69,238.6,156.81
CUST00003,43.4,61.1,117.5,156.7,2.2,103.16,41.86,0.9,1.0,0.4,2.1,0.4,0.312,0.265,0.173,2,415.0,0.065,10.1,6.7,1,1,1,33.7,15.95,30.45,8.72,14.35
CUST00004,26.1,70.4,13.7,11.8,10.1,612.14,62.07,5.2,4.7,0.2,33.6,8.8,0.533,0.476,0.134,0,973.0,0.273,310.2,96.9,15,5,0,177.35,151.48,6.33,17.68,259.3
CUST00005,42.4,68.2,65.9,7.7,40.0,5946.48,146.65,15.9,16.2,7.9,11.3,2.1,0.088,0.093,0.025,0,5180.0,0.571,159.8,21.0,7,5,0,909.67,2294.86,292.81,1237.38,1211.76
CUST00006,46.6,118.7,60.8,6.3,34.5,4567.6,128.19,12.8,7.0,14.6,7.7,1.9,0.103,0.035,0.027,0,2872.0,0.374,124.2,58.9,5,7,0,1324.22,1635.72,359.55,101.79,1146.32
CUST00007,49.1,147.8,46.0,11.0,43.8,10308.79,202.2,14.5,13.8,15.5,12.6,3.1,0.052,0.132,0.028,1,4255.0,0.83,67.6,37.7,3,4,0,839.73,3891.66,5.23,4600.07,972.1
CUST00008,43.8,67.8,24.5,32.3,7.6,513.64,67.0,3.9,3.8,0.0,1.9,4.0,0.331,0.176,0.064,0,734.0,0.157,38.7,24.1,5,1,0,115.22,61.44,49.94,8.18,278.85
CUST00009,45.6,60.4,48.3,149.4,3.5,127.67,32.3,1.7,1.6,0.1,1.9,1.0,0.257,0.217,0.163,1,333.0,0.033,8.3,4.9,0,0,1,2.96,18.47,52.87,29.5,23.86
CUST00010,54.2,77.5,93.1,98.3,2.0,63.04,32.24,1.1,1.0,0.0,3.0,1.2,0.229,0.091,0.158,3,211.0,0.072,7.2,2.6,0,0,1,0.56,22.37,20.72,11.36,8.04
CUST00011,54.8,136.5,71.3,4.1,22.2,3282.06,143.85,9.9,4.6,7.7,7.2,3.5,0.116,0.08,0.026,0,4062.0,0.369,77.0,9.7,10,4,0,611.16,667.63,86.22,1498.05,419.0
CUST00012,37.5,72.1,36.7,48.5,4.0,207.83,58.8,1.7,2.0,0.3,7.4,4.0,0.272,0.254,0.127,0,2141.0,0.258,33.5,41.2,8,1,2,14.53,62.76,84.6,15.57,30.37
CUST00013,42.8,28.0,58.1,31.2,15.6,905.31,55.73,8.9,3.4,3.3,12.2,5.9,0.235,0.192,0.104,0,1915.0,0.318,34.7,16.9,5,1,0,80.21,228.3,182.33,208.49,205.97
CUST00014,46.1,63.1,39.6,14.8,15.2,508.74,36.14,6.2,3.5,5.5,10.7,13.2,0.281,0.372,0.12,2,1057.0,0.381,43.0,24.0,10,3,1,93.99,79.26,121.74,12.05,201.7
CUST00015,46.2,15.0,31.7,25.8,31.5,1211.27,40.39,17.2,13.9,0.4,18.0,8.5,0.857,0.64,0.134,0,1186.0,0.18,59.3,45.4,10,1,0,186.22,108.97,832.02,16.3,67.76
CUST00016,32.1,68.6,25.6,21.2,16.9,668.81,36.18,10.0,3.8,3.1,12.9,16.9,0.637,0.558,0.176,1,842.0,0.463,40.4,43.1,14,0,2,88.46,348.1,94.66,46.44,91.16
CUST00017,38.1,50.6,28.7,12.3,33.2,1426.2,41.72,14.7,15.4,3.1,17.0,7.6,0.781,0.237,0.064,0,1744.0,0.553,79.4,57.2,11,2,1,25.05,95.44,1117.6,100.95,87.17
CUST00018,23.6,49.2,2.9,13.1,2.5,134.76,53.72,1.1,1.0,0.4,29.7,2.5,0.395,0.352,0.155,1,1318.0,0.232,193.8,118.3,18,1,0,21.22,51.02,6.61,4.7,51.21
CUST00019,22.5,41.6,21.0,9.6,12.1,693.03,54.32,4.5,3.1,4.5,25.5,5.5,0.241,0.496,0.105,1,988.0,0.222,86.5,138.7,20,3,2,161.59,85.85,120.83,8.42,316.34
